userId,movieId,rating,timestamp
60,160,4.0,1707268864
37,172,3.0,1709560823
46,197,0.5,1705694550
34,149,1.5,1703751712
87,153,1.5,1701569353
94,107,4.5,1701234496
16,166,3.5,1704116387
75,200,0.5,1702666890
28,142,3.5,1701286840
23,135,1.0,1706970495
98,154,0.5,1709520082
96,122,5.0,1706170820
95,114,2.0,1704326568
99,101,5.0,1701071915
51,153,5.0,1704211052
73,176,1.0,1709016928
63,150,3.0,1702226834
24,147,3.0,1701942744
6,171,1.0,1703310209
33,187,4.5,1706012407
71,111,1.5,1708235964
82,142,3.0,1709767073
90,113,4.0,1702202395
59,180,3.5,1705378962
73,156,1.5,1707633107
66,187,0.5,1706687589
11,110,0.5,1708539360
94,176,4.5,1701070299
4,185,3.0,1707789844
51,119,2.5,1706420012
16,101,4.5,1704777800
36,192,3.5,1706962124
55,143,2.0,1705205853
39,137,1.0,1703381169
82,157,1.5,1700913694
40,189,4.0,1705298591
40,115,1.0,1700964552
17,104,1.0,1701367167
88,146,5.0,1704012779
42,200,3.5,1708629092
53,148,4.5,1702855223
18,138,4.5,1702236657
24,153,0.5,1706050859
26,143,1.5,1701446173
47,199,0.5,1706793176
82,164,2.5,1701457041
67,180,2.0,1702270557
3,161,2.0,1707402509
10,166,5.0,1703147532
51,129,4.5,1708177017
41,164,3.0,1709362765
97,167,4.0,1707187189
53,199,2.0,1707130638
76,155,4.5,1701861491
74,184,5.0,1709009618
3,113,2.0,1701017683
78,151,1.0,1703370580
76,149,5.0,1708655567
14,141,2.0,1700959439
81,139,2.0,1701665931
43,176,2.5,1702470549
50,158,1.5,1700485162
1,135,1.5,1703328200
63,188,3.5,1706986568
77,159,4.5,1707944177
34,153,1.5,1704282960
1,140,5.0,1705827147
5,109,1.5,1701058193
36,137,2.0,1701645804
74,181,1.5,1707762762
44,155,2.5,1709378156
24,171,0.5,1703828183
14,102,2.0,1709761708
53,134,1.0,1708157953
75,155,1.5,1702105386
14,173,0.5,1705262191
34,159,4.0,1701670704
2,105,2.5,1709185304
14,158,4.5,1700595939
19,176,2.0,1700174013
75,162,4.0,1705824878
82,126,2.0,1706093288
93,106,1.0,1702378989
59,166,1.0,1704826553
26,169,3.0,1702927070
47,171,3.5,1705431758
82,147,0.5,1701353590
31,198,0.5,1707854079
57,171,1.0,1700778038
21,117,2.0,1702089673
42,178,3.0,1703182828
82,103,1.0,1704455083
82,147,2.5,1700795858
79,102,4.5,1709881091
7,144,4.0,1708594690
77,122,2.0,1709826219
94,133,4.5,1701087845
75,145,1.5,1705413470
1,180,4.0,1709289026
64,158,3.0,1700814014
100,178,1.5,1708685988
53,189,2.5,1708254970
68,163,1.5,1706989134
18,149,4.0,1704327178
20,157,2.0,1706435693
89,124,5.0,1708805996
95,101,1.0,1703197813
61,170,1.0,1707612282
39,169,4.5,1703792349
17,182,3.0,1703311340
72,165,0.5,1704000739
12,119,2.0,1705756030
93,128,1.0,1704809845
9,191,4.0,1709341982
73,138,2.0,1707320312
20,181,4.0,1706039431
19,141,2.0,1700809991
70,183,4.5,1709211828
95,158,1.5,1706031882
43,175,2.0,1702103988
94,131,3.0,1703647741
44,111,4.0,1701201191
20,104,1.0,1706980415
70,135,2.0,1703858179
77,166,0.5,1709277791
34,104,2.0,1709505163
49,181,3.0,1704777391
59,112,1.5,1701897150
67,120,5.0,1701947631
15,178,3.0,1707860382
85,192,1.0,1700500790
13,158,2.0,1701682742
43,197,1.0,1708423297
47,153,4.5,1702297609
99,195,4.0,1705344017
100,112,5.0,1709435947
23,122,3.0,1701727613
84,121,1.5,1708544850
83,147,0.5,1708102821
38,194,3.0,1700715575
70,161,4.0,1707601175
28,153,1.5,1701565777
12,179,1.5,1704702939
48,130,2.5,1700130670
40,177,2.5,1703126313
70,182,1.5,1707318386
33,128,0.5,1701377477
56,147,1.0,1705907988
77,109,5.0,1701056407
99,159,3.0,1705526481
70,179,1.0,1701049258
72,115,3.0,1705350163
84,171,2.0,1700500791
71,119,4.5,1704407282
70,168,4.5,1709955179
36,159,2.5,1707704871
97,183,1.5,1701402820
77,120,2.5,1708869484
49,138,5.0,1704476024
7,160,1.0,1705210853
57,109,5.0,1704023042
75,139,5.0,1706494610
27,154,1.0,1707219961
57,197,1.0,1707038764
22,142,1.5,1700750527
73,183,3.0,1704753511
49,126,3.0,1706363669
20,145,4.5,1708872357
69,140,1.5,1709988807
5,195,4.5,1707236906
50,108,2.0,1700257270
58,157,4.0,1703960680
92,169,5.0,1702441172
88,145,1.0,1701824583
58,200,1.0,1708425958
62,110,5.0,1702908595
100,196,3.0,1707658291
10,178,1.0,1708907295
73,138,3.0,1701133920
55,168,1.5,1709329748
15,104,5.0,1708065100
29,129,5.0,1707652525
48,107,2.0,1706924125
17,195,5.0,1701291113
96,142,1.0,1701780888
100,133,4.0,1702048846
70,164,2.5,1707142584
53,200,5.0,1704753098
49,167,3.5,1709895121
77,152,3.5,1708316976
83,125,1.0,1705180846
87,117,2.0,1707738455
19,161,1.5,1700025593
97,103,4.5,1703265430
81,191,2.5,1707101371
20,165,3.5,1705584045
5,139,4.5,1702042597
57,137,3.0,1703913271
25,129,3.0,1706242991
73,187,3.0,1704608601
18,153,2.5,1706626112
56,145,0.5,1701310386
16,184,5.0,1700270465
84,115,0.5,1706513982
54,158,1.5,1709640483
100,186,3.0,1704474788
59,185,4.0,1704040952
84,154,5.0,1700792197
59,164,5.0,1703830831
53,107,1.5,1701791027
54,136,1.5,1704263448
76,147,4.5,1709532729
94,143,4.5,1707253523
82,102,5.0,1709850499
2,177,4.5,1704911955
65,143,2.5,1709394199
27,102,0.5,1703024400
4,108,2.5,1705485803
8,120,3.5,1704168484
1,107,4.0,1709219550
73,189,1.5,1709909755
2,112,3.0,1701042551
40,197,1.5,1707051790
85,111,3.0,1702658406
95,158,0.5,1701796440
30,175,5.0,1701732608
2,153,4.0,1708807557
42,195,0.5,1700603361
97,178,2.5,1709331324
82,103,1.5,1704144967
36,155,3.5,1700084963
88,115,2.5,1700367880
64,121,2.5,1706274619
89,146,1.0,1701173390
5,153,4.0,1701180054
22,125,1.5,1708957163
43,178,2.5,1704394011
21,123,2.5,1702671890
54,114,3.0,1702676518
48,105,5.0,1701605067
45,190,1.5,1705039913
21,180,1.0,1706671800
39,155,3.0,1705171007
10,132,2.5,1706263522
20,193,3.5,1702489737
81,123,4.0,1704328942
1,147,4.0,1706549556
96,117,2.0,1701375503
34,166,0.5,1700411401
14,140,5.0,1705717635
18,102,3.0,1703463754
70,175,2.0,1702646219
12,192,3.5,1703726053
97,196,1.0,1704964362
78,193,4.5,1706385334
44,178,4.0,1700020474
81,141,2.0,1700775405
40,112,3.5,1701225672
5,103,2.0,1701440629
